"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","PMLL4148L","","","","Diode_SMD:D_MiniMELF",""
"D2,D3","2","3.6V 1/2mW","","","","Diode_SMD:D_SOD-123",""
"D4","1","Led Green","","","","ledSmd:ledSMD",""
"D5","1","LED","","","","ledSmd:ledSMD",""
"J1","1","Pcb USB Type A","","","","embeddedPcbUsb:USB_A_UCC","~"
"J2","1","Header","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"R1","1","1.5KΩ 5% 1/8W","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R2,R3","2","68Ω 5% 1/8W","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R4,R5","2","330Ω  5% 1/8W","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1","1","ATtiny85-20SU","","","","Package_SO:SOIC-8W_5.3x5.3mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf"
